appid,ccu,owners,positive,negative,name,type,is_free,price_uyu,original_price_uyu,discount_pct,release_date,supported_languages,metacritic_score,genres,categories,platforms_windows,platforms_mac,platforms_linux,min_requirements,developers,publishers,review_score,has_es_latam,is_indie,is_multiplayer,is_singleplayer,pct_min_wage,year,age_years,era,ram_gb,storage_gb
730,1013936,"100,000,000 .. 200,000,000",7642084,1173003,Counter-Strike 2,game,True,0.0,0.0,0,2012-08-21,"Czech, Danish, Dutch, English<strong>*</strong>, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese, Indonesian<br><strong>*</strong>languages with full audio support",,"Action,Free To Play","Multi-player,Cross-Platform Multiplayer,Steam Trading Cards,Steam Workshop,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Steam Timeline",True,False,True,Minimum:     OS:  Windows® 10    Processor:  4 hardware CPU threads - Intel® Core™ i5 750 or higher    Memory:  8 GB RAM    Graphics:  Video card must be 1 GB or more and should be a DirectX 11-compatible with support for Shader Model 5.0    DirectX:  Version 11    Storage:  85 GB available space,Valve,Valve,0.8669,True,False,True,False,0.0,2012.0,13.8,Classic,8.0,85.0
578080,314682,"100,000,000 .. 200,000,000",1520457,1037487,PUBG: BATTLEGROUNDS,game,True,0.0,0.0,0,2017-12-21,"English, Korean, Simplified Chinese, French, German, Spanish - Spain, Arabic, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Thai, Italian, Portuguese - Brazil, Traditional Chinese, Ukrainian",,"Action,Adventure,Massively Multiplayer,Free To Play","Multi-player,PvP,Online PvP,Custom Volume Controls,Stereo Sound,Surround Sound,Partial Controller Support,Stats,Remote Play on Phone,Remote Play on Tablet,Family Sharing",True,False,False,Minimum:    Requires a 64-bit processor and operating system    OS:  64-bit Windows 10    Processor:  Intel Core i5-4430 / AMD FX-6300    Memory:  8 GB RAM    Graphics:  NVIDIA GeForce GTX 960 2GB / AMD Radeon R7 370 2GB    DirectX:  Version 11    Network:  Broadband Internet connection    Storage:  40 GB available space,PUBG Corporation,"KRAFTON, Inc.",0.5944,False,False,True,False,0.0,2017.0,8.5,Established,8.0,40.0
2622380,163599,"2,000,000 .. 5,000,000",48901,16771,ELDEN RING NIGHTREIGN,game,False,1399.0,1399.0,0,2025-05-29,"English<strong>*</strong>, Japanese, French, Italian, German, Spanish - Spain, Arabic, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Thai, Traditional Chinese<br><strong>*</strong>languages with full audio support",,"Action,RPG","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Camera Comfort,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",True,False,False,Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10    Processor:  Intel Core i5-10600 / AMD RYZEN 5 5500    Memory:  12 GB RAM    Graphics:  NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB    DirectX:  Version 12    Storage:  30 GB available space    Sound Card:  Windows compatible audio device,"FromSoftware, Inc.","FromSoftware, Inc.,Bandai Namco Entertainment",0.7446,True,False,True,True,6.36,2025.0,1.1,Recent,12.0,30.0
252490,143870,"20,000,000 .. 50,000,000",1071135,156649,Rust,game,False,579.0,1159.0,50,2018-02-08,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Ukrainian<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Portugal<strong>*</strong>, Turkish<strong>*</strong>, Arabic, Czech, Danish, Dutch, Finnish, Greek, Norwegian, Portuguese - Brazil, Spanish - Latin America, Swedish, Traditional Chinese, Vietnamese<br><strong>*</strong>languages with full audio support",69.0,"Action,Adventure,Indie,Massively Multiplayer,RPG","Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Subtitle Options,Surround Sound,Valve Anti-Cheat enabled,Stats,Remote Play on Tablet",True,True,False,"Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 11 64bit    Processor:  AMD Ryzen 5 1400 or Intel Core i5-6600    Memory:  12 GB RAM    Graphics:  AMD Radeon RX 470, NVIDIA GeForce GTX 1060, Intel® Arc™ A580    DirectX:  Version 11    Network:  Broadband Internet connection    Storage:  45 GB available space    Additional Notes:  SSD is highly recommended or expect longer than average load times.",Facepunch Studios,Facepunch Studios,0.8724,True,True,True,False,2.63,2018.0,8.4,Established,12.0,45.0
1172470,124262,"100,000,000 .. 200,000,000",668053,326926,Apex Legends™,game,True,0.0,0.0,0,2020-11-04,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, Polish<strong>*</strong>, Portuguese - Brazil, Russian<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese, Spanish - Latin America, Arabic<br><strong>*</strong>languages with full audio support",88.0,"Action,Adventure,Free To Play","Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases,Chat Speech-to-text,Playable without Timed Input",True,False,False,"Minimum:    Requires a 64-bit processor and operating system    OS:  64-bit Windows 10    Processor:  AMD FX 4350 or Equivalent, Intel Core i3 6300 or Equivalent    Memory:  6 GB RAM    Graphics:  AMD Radeon™ HD 7790 (2 GB), NVIDIA GeForce® GTX 950    DirectX:  Version 12    Network:  Broadband Internet connection    Storage:  75 GB available space    Additional Notes:  ~3.8GB for 1 localized language",Respawn,Electronic Arts,0.6714,True,False,True,False,0.0,2020.0,5.6,Established,6.0,75.0
431960,91184,"20,000,000 .. 50,000,000",876898,17560,Wallpaper Engine,game,False,159.0,159.0,0,2018-11-16,"English, German, Simplified Chinese, Polish, Portuguese - Brazil, French, Italian, Spanish - Spain, Finnish, Japanese, Korean, Swedish, Thai, Traditional Chinese, Turkish, Portuguese - Portugal, Russian, Danish, Czech, Arabic, Ukrainian, Indonesian, Persian",,"Casual,Indie,Animation & Modeling,Design & Illustration,Photo Editing,Utilities","Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Workshop,Includes level editor",True,False,False,"Minimum:     OS:  Windows 10, Windows 11    Processor:  1.66 GHz Intel i5 or equivalent    Memory:  1024 MB RAM    Graphics:  HD Graphics 4000 or above    DirectX:  Version 11    Storage:  512 MB available space    Additional Notes:  Windows N versions require the 'Media Feature Pack' from Microsoft.",Wallpaper Engine Team,Wallpaper Engine Team,0.9804,False,True,False,False,0.72,2018.0,7.6,Established,,
1671210,83936,"1,000,000 .. 2,000,000",2804,31,DELTARUNE,game,False,740.0,740.0,0,2025-06-04,"English, Japanese",,"Indie,RPG","Single-player,Full controller support,Steam Cloud,Family Sharing",True,True,False,Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10 or higher    Memory:  2 GB RAM    Graphics:  128 MB    DirectX:  Version 12    Storage:  1 GB available space,tobyfox,tobyfox,0.9891,False,True,False,True,3.36,2025.0,1.0,Recent,2.0,1.0
271590,67851,"50,000,000 .. 100,000,000",1739980,250576,Grand Theft Auto V Legacy,game,False,0.0,0.0,0,2015-04-13,"English<strong>*</strong>, French, Italian, German, Spanish - Spain, Korean, Polish, Portuguese - Brazil, Russian, Traditional Chinese, Japanese, Simplified Chinese, Spanish - Latin America<br><strong>*</strong>languages with full audio support",96.0,"Action,Adventure","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",True,False,False,"Minimum:    Requires a 64-bit processor and operating system    OS:  Windows 10 64 Bit    Processor:  Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) / AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz    Memory:  4 GB RAM    Graphics:  NVIDIA 9800 GT 1GB / AMD HD 4870 1GB (DX 10, 10.1, 11)    Storage:  125 GB available space    Sound Card:  100% DirectX 10 compatible    Additional Notes:  Over time downloadable content and programming changes will change the system requirements for this game.  Please refer to your hardware manufacturer and  for current compatibility information. Some system components such as mobile chipsets, integrated, and AGP graphics cards may be incompatible. Unlisted specifications may not be supported by publisher.     Other requirements:  Installation and online play requires log-in to Rockstar Games Social Club (13+) network; internet connection required for activation, online play, and periodic entitlement verification; software installations required including Rockstar Games Social Club platform, DirectX , Chromium, and Microsoft Visual C++ 2008 sp1 Redistributable Package, and authentication software that recognizes certain hardware attributes for entitlement, digital rights management, system, and other support purposes.     SINGLE USE SERIAL CODE REGISTRATION VIA INTERNET REQUIRED; REGISTRATION IS LIMITED TO ONE ROCKSTAR GAMES SOCIAL CLUB ACCOUNT (13+) PER SERIAL CODE; ONLY ONE PC LOG-IN ALLOWED PER SOCIAL CLUB ACCOUNT AT ANY TIME; SERIAL CODE(S) ARE NON-TRANSFERABLE ONCE USED; SOCIAL CLUB ACCOUNTS ARE NON-TRANSFERABLE.  Partner Requirements:  Please check the terms of service of this site before purchasing this software.",Rockstar North,Rockstar Games,0.8741,True,False,True,True,0.0,2015.0,11.2,Classic,4.0,125.0
1938090,67419,"50,000,000 .. 100,000,000",419594,294520,Call of Duty®,game,False,0.0,0.0,0,2022-10-27,"English<strong>*</strong>, French<strong>*</strong>, Italian<strong>*</strong>, German<strong>*</strong>, Spanish - Spain<strong>*</strong>, Korean, Polish, Russian, Traditional Chinese, Japanese<strong>*</strong>, Spanish - Latin America<strong>*</strong>, Arabic, Simplified Chinese<strong>*</strong>, Portuguese - Brazil<strong>*</strong><br><strong>*</strong>languages with full audio support",,Action,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Captions available,In-App Purchases,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Partial Controller Support,HDR available",True,False,False,"Minimum:    Requires a 64-bit processor and operating system    OS:  Windows® 10 64 Bit (latest update)    Processor:  AMD Ryzen™ 5 1400 or Intel® Core™ i5-6600    Memory:  8 GB RAM    Graphics:  AMD Radeon™ RX 470, NVIDIA® GeForce® GTX 970 / 1060 or Intel® Arc™ A580    DirectX:  Version 12    Network:  Broadband Internet connection    Additional Notes:  SSD with 161 GB available space at launch","Treyarch,Raven Software,Beenox,High Moon Studios,Sledgehammer Games,Infinity Ward,Activision Shanghai,Demonware",Activision,0.5876,True,False,True,True,0.0,2022.0,3.6,Modern,8.0,161.0
1203220,66954,"10,000,000 .. 20,000,000",225960,98967,NARAKA: BLADEPOINT,game,True,0.0,0.0,0,2021-08-11,"English<strong>*</strong>, Simplified Chinese<strong>*</strong>, Traditional Chinese<strong>*</strong>, Japanese<strong>*</strong>, Korean<strong>*</strong>, French, German, Spanish - Spain, Russian, Turkish, Portuguese - Portugal, Vietnamese, Thai<br><strong>*</strong>languages with full audio support",,"Action,Adventure,Massively Multiplayer,Free To Play","Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,In-App Purchases,Partial Controller Support,HDR available",True,False,False,"Minimum:     OS *:  Windows 7 64-bit or newer    Processor:  Intel i5 4th generation or AMD FX 6300 or equivalent    Memory:  8 GB RAM    Graphics:  NVIDIA GeForce GTX 750TI, Intel Arc A380, AMD HD 6950 or equivalent    DirectX:  Version 11    Network:  Broadband Internet connection    Storage:  55 GB available space    Additional Notes:  a) Can run at 720p/60fps; b) We advise you install the game on an SSD for a more streamlined experience. c) Requires “Windows Memory integrity and VBS enablement” to be disabled",24 Entertainment,NetEase Games ,0.6954,False,False,True,False,0.0,2021.0,4.9,Modern,8.0,55.0
